PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001_01,Europa,FALSE,B/0/P,TRAPPIST-1e,39.0,FALSE,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,FALSE
0002_01,Earth,FALSE,F/0/S,TRAPPIST-1e,24.0,FALSE,109.0,9.0,25.0,549.0,44.0,Juanna Vines,TRUE
0003_01,Europa,FALSE,A/0/S,TRAPPIST-1e,58.0,TRUE,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,FALSE
0003_02,Europa,FALSE,A/0/S,TRAPPIST-1e,33.0,FALSE,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,FALSE
0004_01,Earth,FALSE,F/1/S,TRAPPIST-1e,16.0,FALSE,303.0,70.0,151.0,565.0,2.0,Willy Santantines,TRUE
0005_01,Earth,FALSE,F/0/P,PSO J318.5-22,44.0,FALSE,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,TRUE
0006_01,Earth,FALSE,F/2/S,TRAPPIST-1e,26.0,FALSE,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,TRUE
0006_02,Earth,TRUE,G/0/S,TRAPPIST-1e,28.0,FALSE,0.0,0.0,0.0,0.0,,Candra Jacostaffey,TRUE
0007_01,Earth,FALSE,F/3/S,TRAPPIST-1e,35.0,FALSE,0.0,785.0,17.0,216.0,0.0,Andona Beston,TRUE
0008_01,Europa,TRUE,B/1/P,55 Cancri e,14.0,FALSE,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,TRUE
0008_02,Europa,TRUE,B/1/P,TRAPPIST-1e,34.0,FALSE,0.0,0.0,,0.0,0.0,Altardr Flatic,TRUE
0008_03,Europa,FALSE,B/1/P,55 Cancri e,45.0,FALSE,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,TRUE
0009_01,Mars,FALSE,F/1/P,TRAPPIST-1e,32.0,FALSE,73.0,0.0,1123.0,0.0,113.0,Berers Barne,TRUE
0010_01,Earth,FALSE,G/1/S,TRAPPIST-1e,48.0,FALSE,719.0,1.0,65.0,0.0,24.0,Reney Baketton,FALSE
0011_01,Earth,FALSE,F/2/P,TRAPPIST-1e,28.0,FALSE,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,TRUE
0012_01,Earth,FALSE,,TRAPPIST-1e,31.0,FALSE,32.0,0.0,876.0,0.0,0.0,Justie Pooles,FALSE
0014_01,Mars,FALSE,F/3/P,55 Cancri e,27.0,FALSE,1286.0,122.0,,0.0,0.0,Flats Eccle,FALSE
0015_01,Earth,FALSE,F/4/P,55 Cancri e,24.0,FALSE,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,FALSE
0016_01,Mars,TRUE,F/5/P,TRAPPIST-1e,45.0,FALSE,0.0,0.0,0.0,0.0,0.0,Alus Upead,TRUE
0017_01,Earth,FALSE,G/0/P,TRAPPIST-1e,0.0,FALSE,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,TRUE
0017_02,Earth,FALSE,F/6/P,55 Cancri e,14.0,FALSE,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,FALSE
0020_01,Earth,TRUE,E/0/S,TRAPPIST-1e,1.0,FALSE,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,FALSE
0020_02,Earth,TRUE,E/0/S,55 Cancri e,49.0,FALSE,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,FALSE
0020_03,Earth,TRUE,E/0/S,55 Cancri e,29.0,FALSE,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,FALSE
0020_04,Earth,FALSE,E/0/S,TRAPPIST-1e,10.0,FALSE,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,TRUE
0020_05,Earth,TRUE,E/0/S,PSO J318.5-22,1.0,FALSE,,0.0,0.0,0.0,0.0,Mael Brantuarez,FALSE
0020_06,Earth,FALSE,E/0/S,TRAPPIST-1e,7.0,FALSE,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,FALSE
0022_01,Mars,FALSE,D/0/P,TRAPPIST-1e,21.0,FALSE,980.0,2.0,69.0,0.0,0.0,,FALSE
0024_01,Europa,TRUE,C/2/S,TRAPPIST-1e,62.0,FALSE,0.0,0.0,,0.0,0.0,Penton Fullided,TRUE
0025_01,Earth,FALSE,F/6/S,TRAPPIST-1e,15.0,FALSE,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,FALSE
0026_01,Europa,FALSE,C/0/P,55 Cancri e,34.0,FALSE,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,FALSE
0028_01,Mars,FALSE,F/8/P,TRAPPIST-1e,43.0,FALSE,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,FALSE
0030_01,Earth,FALSE,G/4/S,TRAPPIST-1e,32.0,FALSE,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,FALSE
0031_01,Mars,FALSE,F/9/P,TRAPPIST-1e,47.0,FALSE,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,TRUE
0031_02,Mars,FALSE,F/9/P,TRAPPIST-1e,2.0,FALSE,0.0,0.0,0.0,0.0,0.0,Cinets Datie,TRUE
0031_03,Mars,FALSE,F/9/P,TRAPPIST-1e,20.0,FALSE,,0.0,1750.0,990.0,0.0,Dontch Datie,TRUE
0034_01,Europa,TRUE,D/1/S,55 Cancri e,28.0,FALSE,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,TRUE
0035_01,Mars,FALSE,D/1/P,55 Cancri e,23.0,FALSE,784.0,964.0,0.0,951.0,0.0,Luse Butte,FALSE
0036_01,Earth,FALSE,F/8/S,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,Marina Leodger,FALSE
0038_01,Earth,FALSE,F/10/S,55 Cancri e,20.0,FALSE,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,FALSE
0039_01,Earth,TRUE,G/1/P,55 Cancri e,30.0,FALSE,0.0,0.0,,0.0,0.0,Jorgie Batthewitt,FALSE
0041_01,Earth,TRUE,G/2/P,TRAPPIST-1e,17.0,FALSE,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,TRUE
0043_01,Europa,FALSE,B/3/P,TRAPPIST-1e,45.0,FALSE,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,FALSE
0044_01,Earth,TRUE,G/3/P,TRAPPIST-1e,55.0,FALSE,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,FALSE
0044_02,Earth,TRUE,G/3/P,55 Cancri e,4.0,FALSE,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,TRUE
0044_03,Earth,TRUE,G/3/P,PSO J318.5-22,21.0,FALSE,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,TRUE
0045_01,Mars,FALSE,F/10/P,TRAPPIST-1e,21.0,FALSE,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,FALSE
0045_02,Mars,TRUE,F/10/P,,19.0,FALSE,0.0,0.0,0.0,0.0,0.0,Mass Chmad,TRUE
0050_01,Earth,FALSE,E/1/S,55 Cancri e,35.0,FALSE,790.0,0.0,0.0,,0.0,Sony Lancis,FALSE
0051_01,Earth,FALSE,E/2/S,TRAPPIST-1e,56.0,FALSE,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,FALSE
0052_01,Earth,FALSE,G/6/S,TRAPPIST-1e,,FALSE,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,FALSE
0053_01,Earth,FALSE,F/11/S,TRAPPIST-1e,25.0,FALSE,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,TRUE
0056_01,Europa,FALSE,A/1/S,TRAPPIST-1e,2.0,FALSE,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,TRUE
0056_02,Europa,TRUE,A/1/S,TRAPPIST-1e,38.0,FALSE,0.0,0.0,0.0,0.0,0.0,Instab Tractive,TRUE
0056_03,Europa,FALSE,A/1/S,TRAPPIST-1e,27.0,FALSE,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,TRUE
0058_01,Earth,TRUE,G/7/S,PSO J318.5-22,36.0,FALSE,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,FALSE
0061_01,Earth,FALSE,F/12/S,TRAPPIST-1e,22.0,FALSE,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,FALSE
0062_01,Earth,FALSE,F/13/S,TRAPPIST-1e,62.0,FALSE,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,FALSE
0064_01,Mars,TRUE,F/14/S,TRAPPIST-1e,15.0,FALSE,0.0,0.0,0.0,0.0,0.0,,TRUE
0064_02,,TRUE,E/3/S,TRAPPIST-1e,33.0,FALSE,0.0,0.0,,0.0,0.0,Colatz Keen,TRUE
0066_01,Earth,FALSE,G/6/P,TRAPPIST-1e,62.0,FALSE,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,FALSE
0067_01,Earth,TRUE,G/10/S,PSO J318.5-22,0.0,FALSE,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,TRUE
0067_02,Earth,FALSE,G/10/S,TRAPPIST-1e,18.0,FALSE,1.0,258.0,446.0,0.0,0.0,Celine Leeves,TRUE
0067_03,Earth,FALSE,F/15/S,55 Cancri e,21.0,FALSE,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,FALSE
0068_01,Mars,FALSE,E/4/S,TRAPPIST-1e,,FALSE,793.0,0.0,2.0,253.0,0.0,Cinst Binie,FALSE
0069_01,Earth,FALSE,F/16/S,TRAPPIST-1e,42.0,FALSE,887.0,0.0,9.0,6.0,0.0,,TRUE
0070_01,Earth,FALSE,F/13/P,TRAPPIST-1e,19.0,FALSE,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,FALSE
0071_01,Earth,FALSE,F/14/P,TRAPPIST-1e,17.0,FALSE,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,FALSE
0072_01,Earth,FALSE,F/17/S,TRAPPIST-1e,14.0,FALSE,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,FALSE
0073_01,Mars,FALSE,D/3/P,PSO J318.5-22,37.0,FALSE,46.0,83.0,738.0,0.0,12.0,Gorn Make,FALSE
0074_01,Europa,FALSE,C/3/S,TRAPPIST-1e,42.0,FALSE,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,TRUE
0076_01,Mars,FALSE,F/18/S,TRAPPIST-1e,27.0,FALSE,147.0,0.0,1018.0,0.0,0.0,Conk Dal,TRUE
0077_01,Mars,FALSE,F/15/P,TRAPPIST-1e,28.0,FALSE,14.0,0.0,1295.0,0.0,0.0,Pon Blité,TRUE
0078_01,Europa,FALSE,C/4/S,TRAPPIST-1e,38.0,FALSE,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,FALSE
0081_01,Earth,TRUE,G/13/S,TRAPPIST-1e,13.0,FALSE,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,FALSE
0082_01,Mars,FALSE,F/16/P,TRAPPIST-1e,42.0,FALSE,7406.0,0.0,0.0,0.0,0.0,Totse Datte,FALSE
0082_02,Mars,TRUE,F/16/P,TRAPPIST-1e,2.0,FALSE,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,TRUE
0082_03,Mars,FALSE,F/16/P,TRAPPIST-1e,8.0,FALSE,0.0,0.0,0.0,0.0,0.0,,TRUE
0084_01,Earth,FALSE,G/14/S,TRAPPIST-1e,24.0,FALSE,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,TRUE
0085_01,Europa,TRUE,C/5/S,TRAPPIST-1e,40.0,FALSE,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,TRUE
0086_01,Earth,FALSE,F/17/P,TRAPPIST-1e,43.0,FALSE,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,FALSE
0088_01,Mars,TRUE,E/5/S,PSO J318.5-22,45.0,FALSE,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,TRUE
0090_01,Earth,TRUE,G/15/S,TRAPPIST-1e,35.0,FALSE,0.0,0.0,0.0,0.0,0.0,Heremy Santry,TRUE
0091_01,Earth,TRUE,G/16/S,TRAPPIST-1e,26.0,FALSE,,0.0,0.0,0.0,0.0,Deanne Yorkland,TRUE
0091_02,Earth,FALSE,F/20/S,TRAPPIST-1e,27.0,FALSE,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,FALSE
0092_01,Earth,FALSE,G/9/P,TRAPPIST-1e,19.0,FALSE,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,FALSE
0092_02,Earth,TRUE,G/9/P,TRAPPIST-1e,0.0,FALSE,0.0,0.0,,0.0,0.0,Stald Hewson,TRUE
0092_03,Earth,TRUE,G/9/P,TRAPPIST-1e,3.0,FALSE,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,TRUE
0097_01,Europa,FALSE,A/2/S,TRAPPIST-1e,54.0,FALSE,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,FALSE
0098_01,Earth,FALSE,G/11/P,TRAPPIST-1e,26.0,FALSE,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,FALSE
0098_02,Earth,FALSE,G/11/P,TRAPPIST-1e,26.0,FALSE,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,TRUE
0099_01,Earth,FALSE,F/19/P,PSO J318.5-22,23.0,FALSE,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,FALSE
0099_02,Earth,,G/12/P,TRAPPIST-1e,2.0,FALSE,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,TRUE
0101_01,Mars,TRUE,,TRAPPIST-1e,31.0,FALSE,0.0,0.0,0.0,0.0,0.0,Book Trad,TRUE
0102_01,Earth,FALSE,F/23/S,TRAPPIST-1e,18.0,FALSE,0.0,0.0,0.0,830.0,91.0,Ritany Holson,FALSE
0103_01,Earth,FALSE,F/24/S,TRAPPIST-1e,24.0,FALSE,0.0,,0.0,0.0,17.0,Arlen Mclainez,TRUE
0103_02,Earth,TRUE,G/18/S,55 Cancri e,9.0,FALSE,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,TRUE
0103_03,Earth,TRUE,G/18/S,TRAPPIST-1e,6.0,FALSE,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,FALSE
0105_01,Earth,,F/21/P,TRAPPIST-1e,27.0,FALSE,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,FALSE
0107_01,Mars,FALSE,D/2/S,TRAPPIST-1e,21.0,FALSE,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,FALSE
0108_01,Earth,TRUE,G/19/S,TRAPPIST-1e,23.0,FALSE,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,FALSE
0108_02,Earth,FALSE,G/19/S,TRAPPIST-1e,31.0,FALSE,562.0,0.0,326.0,0.0,0.0,,FALSE
0108_03,Earth,FALSE,G/19/S,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,TRUE
0110_01,Europa,FALSE,,TRAPPIST-1e,32.0,FALSE,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,FALSE
0110_02,Europa,,B/5/P,TRAPPIST-1e,40.0,FALSE,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,FALSE
0110_03,Europa,FALSE,B/5/P,TRAPPIST-1e,42.0,FALSE,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,TRUE
0110_04,Europa,TRUE,B/5/P,TRAPPIST-1e,28.0,FALSE,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,TRUE
0111_01,Europa,TRUE,E/6/S,TRAPPIST-1e,29.0,FALSE,0.0,0.0,0.0,0.0,0.0,Aldera Supred,TRUE
0112_01,Europa,FALSE,B/1/S,55 Cancri e,48.0,TRUE,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,TRUE
0113_01,Earth,FALSE,F/23/P,TRAPPIST-1e,64.0,FALSE,0.0,0.0,804.0,0.0,0.0,Idary Carvis,TRUE
0114_01,Earth,FALSE,G/20/S,TRAPPIST-1e,27.0,FALSE,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,FALSE
0115_01,Mars,,F/24/P,TRAPPIST-1e,26.0,FALSE,0.0,0.0,0.0,0.0,,Rohs Pead,TRUE
0116_01,Europa,FALSE,D/4/P,TRAPPIST-1e,33.0,FALSE,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,TRUE
0119_01,,FALSE,A/0/P,TRAPPIST-1e,39.0,FALSE,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,FALSE
0119_02,Europa,TRUE,A/0/P,TRAPPIST-1e,13.0,FALSE,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,TRUE
0120_01,Mars,TRUE,F/25/P,TRAPPIST-1e,24.0,FALSE,0.0,0.0,0.0,0.0,,Bees Sacre,TRUE
0122_01,Earth,FALSE,G/21/S,TRAPPIST-1e,29.0,FALSE,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,FALSE
0123_01,Earth,FALSE,F/27/P,TRAPPIST-1e,18.0,FALSE,55.0,597.0,49.0,0.0,1.0,Iree Fielson,FALSE
0126_01,Mars,TRUE,F/27/S,TRAPPIST-1e,67.0,FALSE,0.0,0.0,0.0,0.0,0.0,Milly Mish,TRUE
0127_01,Mars,FALSE,E/7/S,TRAPPIST-1e,35.0,FALSE,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,FALSE
0128_01,Mars,FALSE,D/3/S,TRAPPIST-1e,61.0,TRUE,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,FALSE
0128_02,Mars,FALSE,E/8/S,TRAPPIST-1e,45.0,FALSE,2103.0,6.0,0.0,0.0,0.0,Barave Fles,FALSE
0129_01,Earth,TRUE,G/22/S,PSO J318.5-22,22.0,FALSE,0.0,0.0,,0.0,0.0,Race Fowles,TRUE
0133_01,Mars,TRUE,F/29/S,TRAPPIST-1e,19.0,FALSE,0.0,0.0,0.0,0.0,0.0,Flynx Blie,TRUE
0133_02,Mars,FALSE,D/5/S,TRAPPIST-1e,36.0,FALSE,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,FALSE
0134_01,Earth,FALSE,G/17/P,TRAPPIST-1e,19.0,FALSE,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,TRUE
0136_01,Earth,FALSE,G/23/S,PSO J318.5-22,47.0,FALSE,97.0,418.0,126.0,25.0,55.0,,FALSE
0138_01,Earth,TRUE,G/18/P,TRAPPIST-1e,13.0,FALSE,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,TRUE
0138_02,Earth,FALSE,E/5/P,,34.0,FALSE,0.0,22.0,0.0,564.0,207.0,Monah Gambs,FALSE
0139_01,Europa,TRUE,C/6/S,55 Cancri e,35.0,FALSE,0.0,0.0,0.0,0.0,0.0,Charda Myling,TRUE
0140_01,Earth,TRUE,G/19/P,TRAPPIST-1e,24.0,FALSE,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,TRUE
0140_02,Earth,FALSE,F/29/P,TRAPPIST-1e,26.0,FALSE,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,FALSE
0141_01,Mars,FALSE,F/30/P,TRAPPIST-1e,31.0,FALSE,,0.0,97.0,0.0,0.0,Pyrohs Harte,FALSE
0144_01,Earth,FALSE,F/31/S,TRAPPIST-1e,20.0,FALSE,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,TRUE
0146_01,Earth,FALSE,G/25/S,TRAPPIST-1e,56.0,FALSE,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,FALSE
0147_01,Earth,TRUE,G/26/S,TRAPPIST-1e,50.0,FALSE,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,TRUE
0148_01,Mars,FALSE,F/31/P,TRAPPIST-1e,42.0,FALSE,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,FALSE
0149_01,Earth,TRUE,G/27/S,55 Cancri e,,FALSE,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,TRUE
0151_01,Earth,TRUE,G/20/P,55 Cancri e,38.0,FALSE,0.0,0.0,0.0,0.0,0.0,Shanie Simson,FALSE
0152_01,Earth,FALSE,F/32/P,,41.0,FALSE,0.0,0.0,0.0,0.0,607.0,Andan Estron,FALSE
0160_01,Earth,FALSE,G/22/P,TRAPPIST-1e,22.0,FALSE,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,FALSE
0163_01,Europa,TRUE,B/8/P,TRAPPIST-1e,26.0,FALSE,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,TRUE
0163_02,Europa,TRUE,B/8/P,TRAPPIST-1e,17.0,FALSE,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,TRUE
0164_01,Earth,FALSE,G/28/S,TRAPPIST-1e,57.0,FALSE,50.0,1688.0,0.0,,135.0,Fany Hutchinton,TRUE
0164_02,Earth,TRUE,G/28/S,PSO J318.5-22,17.0,FALSE,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,FALSE
0165_01,Mars,TRUE,F/37/P,TRAPPIST-1e,35.0,,0.0,0.0,0.0,0.0,0.0,Graven Anche,TRUE
0167_01,Mars,TRUE,F/35/S,TRAPPIST-1e,13.0,FALSE,0.0,0.0,0.0,0.0,0.0,Miten Floaf,TRUE
0167_02,Mars,FALSE,F/35/S,TRAPPIST-1e,27.0,FALSE,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,FALSE
0169_01,Earth,TRUE,G/23/P,TRAPPIST-1e,31.0,FALSE,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,FALSE
0170_01,Earth,FALSE,E/10/S,TRAPPIST-1e,24.0,FALSE,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,FALSE
